,Round,Team1,Score1,Team2,Score2
0,Round 1 Match D (Bo3), Titan,1, Newbee,2
1,Round 2 Match E (Bo3), Natus Vincere,0, Newbee,2
2,Round 3 Match F (Bo3), Invictus Gaming,1, Newbee,2
