,Round,Team1,Score1,Team2,Score2
0,Round 1 Match A (Bo3), Team Liquid,0, LGD Gaming,2
1,Round 2 Match B (Bo3), Cloud9,2, LGD Gaming,1
2,Round 3 Match C (Bo3), Team DK,2, Cloud9,0
