,Round,Team1,Score1,Team2,Score2
0,Semifinals (Bo3), Virtus.pro,0, MVP Phoenix,2
1,Semifinals (Bo3), CIS Game,0, Team Liquid,2
2,Finals (Bo3), MVP Phoenix,0, Team Liquid,2
