,Standing,Team
1,1st,SG esports
2,2nd,Unknown Team
3,3rd,Infinity
4,4th,NoPing e-sports
5,5th-6th,EgoBoys
6,5th-6th,BINOMISTAS
7,7th-8th,Hokori
8,7th-8th,Infamous
9,9th-12th,Interitus
10,9th-12th,Latam Defenders
11,9th-12th,Omega Gaming
12,9th-12th,Inverse
