,Place,$USD,Pcnt,Team
1,1st,"$15,620,181",45.5%,OG
2,2nd,"$4,462,908",13%,Team Liquid
3,3rd,"$3,089,706",9%,PSG.LGD
4,4th,"$2,059,804",6%,Team Secret
5,5th-6th,"$1,201,552",3.5%,Evil Geniuses
6,5th-6th,"$1,201,552",3.5%,Vici Gaming
7,7th-8th,"$858,252",2.5%,Royal Never Give Up
8,7th-8th,"$858,252",2.5%,Infamous
9,9th-12th,"$686,602",2%,Virtus.pro
10,9th-12th,"$686,602",2%,TNC Predator
11,9th-12th,"$686,602",2%,Newbee
12,9th-12th,"$686,602",2%,Mineski
13,13th-16th,"$514,951",1.5%,Alliance
14,13th-16th,"$514,951",1.5%,Fnatic
15,13th-16th,"$514,951",1.5%,Keen Gaming
16,13th-16th,"$514,951",1.5%,Natus Vincere
17,17th-18th,"$85,825",0.25%,Chaos Esports Club
18,17th-18th,"$85,825",0.25%,Ninjas in Pyjamas
