,Country,No. of Players,Players
0,China,18,"Ame,Chalice,dark,Dy,eLeVeN,Fade,Flyby,fy,kaka,LaNm,Monet,old chicken,Ori,Paparazi灬,Setsu,Somnus丶M,Yang,一"
1,Philippines,9,"Abed,Armel,Bimbo,DJ,eyyou,Gabbi,Kuku,ninjaboogie,Tims"
2,Sweden,6,"Boxi,iNSaNiA,miCKe,s4,zai,pieliedie"
3,Malaysia,5,"ah fu,MidOne,Moon,vtFαded,xNova"
4,Russia,5,"RAMZES666,RodjER,Solo,SoNNeikO,9pasha"
5,Denmark,4,"Ace,Cr1t-,MISERY,N0tail"
6,Germany,4,"Fata,KheZu,KuroKy,qojqva"
7,Peru,4,"Chris Luck,K1,Scofield,Stinger"
8,United States,4,"CCnC,MSS,ppd,Sneyking"
9,Finland,3,"JerAx,MATUMBAMAN,Topson"
10,Ukraine,3,"Crystallize,MagicaL,No[o]ne"
11,Australia,2,"ana,kpii"
12,Bulgaria,2,"MinD_ContRoL,Nikobaby"
13,Israel,2,"Fly,33"
14,Jordan,2,"Miracle-,YapzOr"
15,Kyrgyzstan,2,"Blizzy,Zayac"
16,Pakistan,2,"SumaiL,YawaR"
17,Bolivia,1,Wisper
18,Bosnia and Herzegovina,1,MiLAN
19,Canada,1,Arteezy
20,Estonia,1,Puppey
21,France,1,7ckngMad
22,Lebanon,1,GH
23,North Macedonia,1,Saksa
24,Norway,1,Taiga
25,Poland,1,Nisha
26,Romania,1,w33
27,Singapore,1,iceiceice
28,South Korea,1,DuBu
29,Thailand,1,Jabz
