,Team,Win--Draw--Loss,Points
0,OG,6--2--0,14
1,Vici Gaming,4--3--1,11
2,Evil Geniuses,3--3--2,9
3,Virtus.pro,3--2--3,8
4,Infamous,1--5--2,7
5,Fnatic,3--1--4,7
6,Natus Vincere,2--3--3,7
7,Royal Never Give Up,2--2--4,6
8,Ninjas in Pyjamas,0--3--5,3
