,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo3), PSG.LGD,2, Virtus.pro,0
1,Upper Bracket R1 (Bo3), Vici Gaming,2, TNC Predator,1
2,Upper Bracket R1 (Bo3), OG,2, Newbee,0
3,Upper Bracket R1 (Bo3), Team Secret,1, Evil Geniuses,2
4,Upper Bracket R2 (Bo3), PSG.LGD,2, Vici Gaming,0
5,Upper Bracket R2 (Bo3), OG,2, Evil Geniuses,1
6,Upper Bracket Final (Bo3), PSG.LGD,1, OG,2
7,Lower Bracket R1 (Bo1), Alliance,0, Royal Never Give Up,1
8,Lower Bracket R1 (Bo1), Fnatic,0, Team Liquid,1
9,Lower Bracket R1 (Bo1), Infamous,1, Keen Gaming,0
10,Lower Bracket R1 (Bo1), Mineski,1, Natus Vincere,0
11,Lower Bracket R2 (Bo3), Virtus.pro,0, Royal Never Give Up,2
12,Lower Bracket R2 (Bo3), TNC Predator,0, Team Liquid,2
13,Lower Bracket R2 (Bo3), Newbee,1, Infamous,2
14,Lower Bracket R2 (Bo3), Team Secret,2, Mineski,1
15,Lower Bracket R3 (Bo3), Royal Never Give Up,0, Team Liquid,2
16,Lower Bracket R3 (Bo3), Infamous,0, Team Secret,2
17,Lower Bracket R4 (Bo3), Evil Geniuses,0, Team Liquid,2
18,Lower Bracket R4 (Bo3), Vici Gaming,0, Team Secret,2
19,Lower Bracket R5 (Bo3), Team Liquid,2, Team Secret,0
20,Lower Bracket Final (Bo3), PSG.LGD,1, Team Liquid,2
21,Grand Final (Bo5), OG,3, Team Liquid,1
