,Place,$USD,Pcnt,Team
1,1st,"$10,862,683",44%,Team Liquid
2,2nd,"$3,950,067",16%,Newbee
3,3rd,"$2,592,231",10.5%,LGD.Forever Young
4,4th,"$1,728,154",7%,LGD Gaming
5,5th-6th,"$1,110,956",4.5%,Virtus.pro
6,5th-6th,"$1,110,956",4.5%,Invictus Gaming
7,7th-8th,"$617,198",2.5%,Team Empire
8,7th-8th,"$617,198",2.5%,OG
9,9th-12th,"$370,319",1.5%,Team Secret
10,9th-12th,"$370,319",1.5%,Evil Geniuses
11,9th-12th,"$370,319",1.5%,TNC Pro Team
12,9th-12th,"$370,319",1.5%,Digital Chaos
13,13th-16th,"$123,440",0.5%,Execration
14,13th-16th,"$123,440",0.5%,Cloud9
15,13th-16th,"$123,440",0.5%,Infamous
16,13th-16th,"$123,440",0.5%,iG Vitality
17,17th-18th,"$61,720",0.25%,Fnatic
18,17th-18th,"$61,720",0.25%,HellRaisers
