,Team,Win--Draw--Loss,Points
0,Team Liquid,5--3--0,13
1,LGD Gaming,5--2--1,12
2,Evil Geniuses,3--5--0,11
3,TNC Pro Team,2--5--1,9
4,Team Secret,1--5--2,7
5,iG Vitality,1--5--2,7
6,Team Empire,1--4--3,6
7,Infamous,1--3--4,5
8,Fnatic,0--2--6,2
