,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo3), Team Liquid,1, Invictus Gaming,2
1,Upper Bracket R1 (Bo3), Newbee,2, Evil Geniuses,0
2,Upper Bracket R1 (Bo3), LGD.Forever Young,2, TNC Pro Team,0
3,Upper Bracket R1 (Bo3), LGD Gaming,0, Virtus.pro,2
4,Upper Bracket R2 (Bo3), Invictus Gaming,1, Newbee,2
5,Upper Bracket R2 (Bo3), LGD.Forever Young,2, Virtus.pro,0
6,Upper Bracket Final (Bo3), Newbee,2, LGD.Forever Young,1
7,Lower Bracket R1 (Bo1), Team Secret,1, Execration,0
8,Lower Bracket R1 (Bo1), Cloud9,0, Team Empire,1
9,Lower Bracket R1 (Bo1), OG,1, Infamous,0
10,Lower Bracket R1 (Bo1), iG Vitality,0, Digital Chaos,1
11,Lower Bracket R2 (Bo3), Team Liquid,2, Team Secret,1
12,Lower Bracket R2 (Bo3), Evil Geniuses,0, Team Empire,2
13,Lower Bracket R2 (Bo3), TNC Pro Team,0, OG,2
14,Lower Bracket R2 (Bo3), LGD Gaming,2, Digital Chaos,0
15,Lower Bracket R3 (Bo3), Team Liquid,2, Team Empire,0
16,Lower Bracket R3 (Bo3), OG,0, LGD Gaming,2
17,Lower Bracket R4 (Bo3), Virtus.pro,1, Team Liquid,2
18,Lower Bracket R4 (Bo3), Invictus Gaming,0, LGD Gaming,2
19,Lower Bracket R5 (Bo3), Team Liquid,2, LGD Gaming,0
20,Lower Bracket Final (Bo3), LGD.Forever Young,1, Team Liquid,2
21,Grand Final (Bo5), Newbee,0, Team Liquid,3
