,Country,No. of Players,Players
0,China,22,"Ame,BoBoKa,BurNIng,dogf1ghts,eLeVeN,Faith,Inflame,InJuly,Kaka,Maybe,Monet,Moogy,Op,Paparazi灬,Q,Sakata,Sccc,super,Super,Victoria,Xxs,Yao"
1,Philippines,11,"Abed,Bimbo,CartMaN,DJ,Kim0,Kuku,Nando,Raven,RR,Sam_H,Tims"
2,Russia,5,"9pasha,Miposhka,RAMZES666,RodjER,Solo"
3,Peru,5,"Accel,Benjaz,Kingteka,Matthew,Timado"
4,South Korea,5,"DuBu,Febby,Forev,MP,QO"
5,Ukraine,5,"fn,Ghostik,Lil,No[o]ne,Resolut1on"
6,Canada,4,"1437,Arteezy,Aui_2000,EternaLEnVy"
7,Malaysia,4,"Ahfu,Ahjit,MidOne,Ohaiyo"
8,United States of America,4,"BuLba,mason,MSS,UNiVeRsE"
9,Sweden,3,"pieliedie,s4,zai"
10,Germany,3,"FATA-,KheZu,KuroKy"
11,Australia,2,"ana,kpii"
12,Denmark,2,"Cr1t-,N0tail"
13,Finland,2,"JerAx,MATUMBAMAN"
14,Israel,2,"Fly,33"
15,Jordan,2,"Miracle-,YapzOr"
16,Belarus,1,j4
17,Bosnia & Herzegovina,1,MiLAN
18,Bulgaria,1,MinD_ContRoL
19,Estonia,1,Puppey
20,Greece,1,Keyser
21,Lebanon,1,GH
22,Macau,1,DDC
23,Pakistan,1,SumaiL
24,Serbia,1,Swiftending
