,Team,Win--Draw--Loss,Points
0,LGD.Forever Young,6--2--0,14
1,Newbee,4--3--1,11
2,Virtus.pro,3--4--1,10
3,Invictus Gaming,3--4--1,10
4,OG,2--5--1,9
5,Cloud9,2--2--4,6
6,Digital Chaos,2--2--4,6
7,Execration,0--5--3,5
8,HellRaisers,0--1--7,1
