,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Escape Gaming,1, Alliance,2
1,Upper Bracket Round 1, Fantastic Five,0, Ad Finem,2
2,Upper Bracket Final, Alliance,2, Ad Finem,0
3,Lower Bracket Round 1, Escape Gaming,2, Fantastic Five,1
4,Lower Bracket Final, Ad Finem,1, Escape Gaming,2
5,Grand Final, Alliance,3, Escape Gaming,1
