,Team,Win--Loss
0,Team Secret,6--3
1,Escape Gaming,6--3
2,Fantastic Five,6--3
3,Ad Finem,5--4
4,Alliance,5--4
5,Virtus.pro,4--5
6,Vega Squadron,4--5
7,Team Empire,4--5
8,Power Rangers,3--6
9,Flipsid3 Tactics,2--7
