,Standing,Team
0,1st,Arrow Gaming
1,2nd,MVP Phoenix
2,3rd,Made in Thailand
3,4th,Mineski
4,5th-10th,Orange Esports
5,5th-10th,First Departure
6,5th-10th,Scythe Gaming
7,5th-10th,Rex Regum QEON
8,5th-10th,Zephyr
9,5th-10th,Execration
