,Team,Win--Loss
0,Arrow Gaming,7--2
1,MVP Phoenix,7--2
2,Mineski,5--4 *
3,Made in Thailand,5--4 *
4,Orange Esports,5--4 *
5,First Departure,4--5
6,Scythe Gaming,4--5
7,Rex Regum QEON,4--5
8,Zephyr,3--6
9,Execration,1--8
