,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Final, Arrow Gaming,2, MVP Phoenix,0
1,Lower Bracket Round 1, Mineski,1, MiTH,2
2,Lower Bracket Final, MVP Phoenix,2, MiTH,0
3,Grand Final, Arrow Gaming,3, MVP Phoenix,1
