,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Hippomaniacs,2, Aachen City Esports,0
1,Upper Bracket Round 1, The Final Tribe,2, Chaos EC,1
2,Upper Bracket Final, Hippomaniacs,1, The Final Tribe,2
3,Lower Bracket Round 1, Aachen City Esports,0, Chaos EC,2
4,Lower Bracket Final, Hippomaniacs,0, Chaos EC,2
5,Grand Final, The Final Tribe,0, Chaos EC,3
