,Team,Win--Loss
0,Hippomaniacs,5--2
1,The Final Tribe,5--2
2,Chaos Esports Club,4--3
3,Aachen City Esports,4--3
4,Anti-MagE-,4--3
5,Team Singularity,3--4
6,six eight two,2--5
7,Team Bald,1--6
