,#,Country / Region,Representation,Players
0,1,China,27 / 80 (34%),"Agressif, Banana, BurNIng, Cty, Faith, Fenrir, Ferrari_430, fy, Garder, Hao, June, LaNm, Luo, Maybe, MMY!, Mu, Q, Rabbit, rOtK, SanSheng, Shiki, Super, Sylar, xiao8, Xz, Yao, Zyf"
1,2,Ukraine,9 / 80 (11%),"ALOHADANCE, ALWAYSWANNAFLY, Artstyle, Dendi, DkPhobos, Funn1k, Lil, Resolut1on, XBOCT"
2,3,South Korea,7 / 80 (9%),"Febby, FoREv, Heen, March, MP, QO, SunBhie"
3,4,Malaysia,6 / 80 (8%),"ChuaN, JoHnNy, Kecik Imba, kYxY, Mushi, Ohaiyo"
4,5,Russia,5 / 80 (6%),"God, Illidan, Silent, SoNNeikO, yoky-"
5,5,United States,5 / 80 (6%),"Fear, ppd, swindlemelonzz, UNiVeRsE, Zfreek"
6,7,Canada,4 / 80 (5%),"Arteezy, Aui_2000, EternaLEnVy, MoonMeander"
7,8,Denmark,2 / 80 (3%),"BigDaddy, MiSeRy"
8,8,Germany,2 / 80 (3%),"FATA-, KuroKy"
9,8,Singapore,2 / 80 (3%),"iceiceice, NutZ"
10,8,Sweden,2 / 80 (3%),"s4, zai"
11,12,Australia,1 / 80 (1%),kphoenii
12,12,Belarus,1 / 80 (1%),Fng
13,12,Estonia,1 / 80 (1%),Puppey
14,12,Finland,1 / 80 (1%),JerAx
15,12,Israel,1 / 80 (1%),Fly
16,12,Macau,1 / 80 (1%),DDC
17,12,Mexico,1 / 80 (1%),Zyzz
18,12,Pakistan,1 / 80 (1%),SumaiL
19,12,Romania,1 / 80 (1%),bOne7
