,#,Country / Region,Representation,Players
0,1,Peru,13 / 100 (13%),"Chris Luck, DarkMago, Gardick, Gōjira, K1, Lumière, Matthew, Pakazs, Pandaboo, Sacred, Stinger, Timado, Vitaly"
1,1,Russia,13 / 100 (13%),"Collapse, Daxak, dyrachyo, Kataomi`, Larl, Miposhka, Misha, Nightfall, Noticed, Pure, RodjER, SoNNeikO, TORONTOTOKYO"
2,3,China,12 / 100 (12%),"Ame, BoBoKa, Chalice, Faith_bian, kaka, Monet, Ori, Somnus, XinQ, Xxs, y`, 皮球"
3,4,Philippines,8 / 100 (8%),"Abed, Armel, DJ, Jaunuel, Raven, skem, TIMS, Yopaj"
4,5,Germany,4 / 100 (4%),"Fata, Nine, Stormstormer, tOfu"
5,5,Sweden,4 / 100 (4%),"Boxi, iNSaNiA, miCKe, zai"
6,5,Ukraine,4 / 100 (4%),"Mira, Resolut1on, Yatoro, Yuragi"
7,5,United States,4 / 100 (4%),"MSS, Quinn, Sneyking, YawaR"
8,9,Brazil,3 / 100 (3%),"4nalog, LESLÃO, Thiolicor"
9,9,Canada,3 / 100 (3%),"Arteezy, Bryle, MoonMeander"
10,9,Indonesia,3 / 100 (3%),"Fbz, Hyde, Mikoto"
11,9,Malaysia,3 / 100 (3%),"Ghost, NothingToSay, xNova"
12,9,Thailand,3 / 100 (3%),"23savage, Jabz, Q"
13,14,Czechia,2 / 100 (2%),"BOOM, SabeRLight-"
14,14,Denmark,2 / 100 (2%),"Ace, Cr1t-"
15,14,Israel,2 / 100 (2%),"33, Fly"
16,14,Netherlands,2 / 100 (2%),"Crystallis, Seleri"
17,18,Australia,1 / 100 (1%),kpii
18,18,Austria,1 / 100 (1%),Tobi
19,18,Belarus,1 / 100 (1%),Fishman
20,18,Bolivia,1 / 100 (1%),Wisper
21,18,Bulgaria,1 / 100 (1%),bzm
22,18,Estonia,1 / 100 (1%),Puppey
23,18,Finland,1 / 100 (1%),MATUMBAMAN
24,18,Jordan,1 / 100 (1%),ATF
25,18,Kyrgyzstan,1 / 100 (1%),Zayac
26,18,Laos,1 / 100 (1%),JaCkky
27,18,North Macedonia,1 / 100 (1%),Saksa
28,18,Norway,1 / 100 (1%),Taiga
29,18,Poland,1 / 100 (1%),Nisha
30,18,Slovakia,1 / 100 (1%),skiter
31,18,South Korea,1 / 100 (1%),DuBu
