,Hero
0,Bane
1,Dark Willow
2,Dawnbreaker
3,Grimstroke
4,Hoodwink
5,Lion
6,Marci
7,Mars
8,Pangolier
9,Primal Beast
10,Snapfire
11,Spectre
12,Techies
13,Tiny
14,Void Spirit
15,Wraith King
