,Team,Win--Draw--Loss,Points
0,PSG.LGD,7--1--0,15--1
1,Team Secret,4--2--2,10--6
2,Vici Gaming,4--2--2,10--6
3,Team Spirit,5--0--3,10--6
4,beastcoast,2--3--3,7--9
5,Quincy Crew,2--2--4,6--10
6,Fnatic,1--4--3,6--10
7,Elephant,2--2--4,6--10
8,SG esports,1--0--7,2--14
