,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo3), Invictus Gaming,2, Team Spirit,1
1,Upper Bracket R1 (Bo3), Team Secret,2, OG,0
2,Upper Bracket R1 (Bo3), PSG.LGD,2, T1,1
3,Upper Bracket R1 (Bo3), Virtus.pro,2, Vici Gaming,1
4,Upper Bracket R2 (Bo3), Invictus Gaming,0, Team Secret,2
5,Upper Bracket R2 (Bo3), PSG.LGD,2, Virtus.pro,0
6,Upper Bracket Final (Bo3), Team Secret,0, PSG.LGD,2
7,Lower Bracket R1 (Bo1), Team Undying,0, Fnatic,1
8,Lower Bracket R1 (Bo1), Quincy Crew,1, Team Aster,0
9,Lower Bracket R1 (Bo1), beastcoast,0, Alliance,1
10,Lower Bracket R1 (Bo1), Evil Geniuses,1, Elephant,0
11,Lower Bracket R2 (Bo3), Team Spirit,2, Fnatic,0
12,Lower Bracket R2 (Bo3), OG,2, Quincy Crew,0
13,Lower Bracket R2 (Bo3), T1,2, Alliance,0
14,Lower Bracket R2 (Bo3), Vici Gaming,2, Evil Geniuses,1
15,Lower Bracket R3 (Bo3), Team Spirit,2, OG,0
16,Lower Bracket R3 (Bo3), T1,1, Vici Gaming,2
17,Lower Bracket R4 (Bo3), Virtus.pro,1, Team Spirit,2
18,Lower Bracket R4 (Bo3), Invictus Gaming,2, Vici Gaming,0
19,Lower Bracket R5 (Bo3), Team Spirit,2, Invictus Gaming,0
20,Lower Bracket Final (Bo3), Team Secret,1, Team Spirit,2
21,Grand Final (Bo5), PSG.LGD,2, Team Spirit,3
