,Team,Win--Draw--Loss,Points
0,Invictus Gaming,6--2--0,14--2
1,Virtus.pro,5--1--2,11--5
2,OG,3--4--1,10--6
3,T1,5--0--3,10--6
4,Team Undying,3--3--2,9--7
5,Evil Geniuses,3--3--2,9--7
6,Team Aster,2--1--5,5--11
7,Alliance,1--2--5,4--12
8,Thunder Predator,0--0--8,0--16
