,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Invictus Gaming,0, EHOME,2
1,Upper Bracket Round 1, Royal Never Give Up,0, CDEC,2
2,Upper Bracket Final, EHOME,0, CDEC,2
3,Lower Bracket Round 1, Invictus Gaming,0, Royal Never Give Up,2
4,Lower Bracket Final, EHOME,1, Royal Never Give Up,2
5,Grand Final, CDEC,2, Royal Never Give Up,3
