,Team,Win--Loss
0,Invictus Gaming,6--1
1,Royal Never Give Up,5--2
2,CDEC Gaming,4--3
3,EHOME,4--3
4,Team Aster,4--3
5,Newbee,3--4
6,Team Sirius,1--6
7,Team Serenity,1--6
