,Standing,Team
1,1st,OG
2,2nd,Tundra Esports
3,3rd,Team Nigma
4,4th,Team Liquid
5,5th-6th,Chicken Fighters
6,5th-6th,Spider Pigzs
7,7th-8th,Hellbear Smashers
8,7th-8th,Into The Breach
9,9th-12th,Ghost Frogs
10,9th-12th,Vikin.gg
11,9th-12th,Brame
12,9th-12th,Team Bald Reborn
13,13th-14th,No Bounty Hunter
14,13th-14th,Hippomaniacs
