,Team,Win--Draw--Loss,Points
0,Team Liquid,5--3--0,13
1,Evil Geniuses,6--1--1,13
2,PSG.LGD,4--3--1,11
3,OG,3--3--2,9
4,Fnatic,1--5--2,7
5,VGJ.Thunder,2--2--4,6
6,Mineski,1--3--4,5
7,Winstrike Team,1--2--5,4
8,Invictus Gaming,0--4--4,4
