,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo3), Team Liquid,2, OpTic Gaming,0
1,Upper Bracket R1 (Bo3), Virtus.pro,0, PSG.LGD,2
2,Upper Bracket R1 (Bo3), VGJ.Storm,0, OG,2
3,Upper Bracket R1 (Bo3), Evil Geniuses,2, Team Secret,0
4,Upper Bracket R2 (Bo3), Team Liquid,0, PSG.LGD,2
5,Upper Bracket R2 (Bo3), OG,2, Evil Geniuses,1
6,Upper Bracket Final (Bo3), PSG.LGD,1, OG,2
7,Lower Bracket R1 (Bo1), Fnatic,0, Team Serenity,1
8,Lower Bracket R1 (Bo1), TNC Predator,0, Mineski,1
9,Lower Bracket R1 (Bo1), Newbee,0, Winstrike Team,1
10,Lower Bracket R1 (Bo1), VGJ.Thunder,0, Vici Gaming,1
11,Lower Bracket R2 (Bo3), OpTic Gaming,2, Team Serenity,0
12,Lower Bracket R2 (Bo3), Virtus.pro,2, Mineski,0
13,Lower Bracket R2 (Bo3), VGJ.Storm,2, Winstrike Team,0
14,Lower Bracket R2 (Bo3), Team Secret,2, Vici Gaming,1
15,Lower Bracket R3 (Bo3), OpTic Gaming,1, Virtus.pro,2
16,Lower Bracket R3 (Bo3), VGJ.Storm,0, Team Secret,2
17,Lower Bracket R4 (Bo3), Evil Geniuses,2, Virtus.pro,0
18,Lower Bracket R4 (Bo3), Team Liquid,2, Team Secret,0
19,Lower Bracket R5 (Bo3), Evil Geniuses,2, Team Liquid,0
20,Lower Bracket Final (Bo3), PSG.LGD,2, Evil Geniuses,0
21,Grand Final (Bo5), OG,3, PSG.LGD,2
