,Team,Win--Draw--Loss,Points
0,VGJ.Storm,5--2--1,12
1,Virtus.pro,3--4--1,10
2,Team Secret,2--4--2,8
3,OpTic Gaming,3--2--3,8
4,Newbee,3--2--3,8
5,TNC Predator,2--3--3,7
6,Team Serenity,1--5--2,7
7,Vici Gaming,2--3--3,7
8,paiN Gaming,0--5--3,5
