,Place,$USD,Pcnt,Team
1,1st,"$11,234,158",44%,OG
2,2nd,"$4,085,148",16%,PSG.LGD
3,3rd,"$2,680,879",10.5%,Evil Geniuses
4,4th,"$1,787,252",7%,Team Liquid
5,5th-6th,"$1,148,948",4.5%,Virtus.pro
6,5th-6th,"$1,148,948",4.5%,Team Secret
7,7th-8th,"$638,304",2.5%,OpTic Gaming
8,7th-8th,"$638,304",2.5%,VGJ.Storm
9,9th-12th,"$382,983",1.5%,Team Serenity
10,9th-12th,"$382,983",1.5%,Mineski
11,9th-12th,"$382,983",1.5%,Winstrike Team
12,9th-12th,"$382,983",1.5%,Vici Gaming
13,13th-16th,"$127,661",0.5%,Fnatic
14,13th-16th,"$127,661",0.5%,TNC Predator
15,13th-16th,"$127,661",0.5%,Newbee
16,13th-16th,"$127,661",0.5%,VGJ.Thunder
17,17th-18th,"$63,830",0.25%,Invictus Gaming
18,17th-18th,"$63,830",0.25%,paiN Gaming
