,Team,Win--Loss
0,RoX.KIS,9--0
1,mousesports,8--1
2,Team Coast,6--3
3,Virtus.pro,5--4
4,Power Rangers,4--5
5,xGame.kz,4--5
6,Relax,3--6
7,hehe united,3--6
8,Meet Your Makers,2--7
9,Aware Gaming,1--8
