,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Final, RoX.KIS,1, mousesports,2
1,Lower Bracket Round 1, Team Coast,0, Virtus.pro,2
2,Lower Bracket Final, RoX.KIS,1, Virtus.pro,2
3,Grand Final, mousesports,3, Virtus.pro,2
