,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, For The Dream,0, Invictus Gaming,2
1,Upper Bracket Round 1, Team Serenity,2, LGD.Forever Young,0
2,Upper Bracket Final, Invictus Gaming,1, Team Serenity,2
3,Qualified, Team Serenity,-,-,-
4,Lower Bracket Final, Invictus Gaming,2, LGD.Forever Young,0
5,Qualified, Invictus Gaming,-,-,-
