,Team,Win--Loss
0,For The Dream,6--1
1,Team Serenity,5--2
2,LGD.Forever Young,4--3
3,Invictus Gaming,4--3
4,Keen Gaming,4--3
5,Young Dumb,3--4
6,iG Vitality,2--5
7,CDEC Gaming,0--7
