,Standing,Team
1,1st,Team Serenity
2,2nd,Invictus Gaming
3,3rd,LGD.Forever Young
4,4th,For The Dream
5,5th-8th,Keen Gaming
6,5th-8th,Young Dumb
7,5th-8th,iG Vitality
8,5th-8th,CDEC Gaming
