,Team,Win--Loss
0,Team NP,8--1
1,Team Freedom,8--1
2,Planet Odd,6--3
3,compLexity Gaming,5--4
4,Digital Chaos,5--4
5,Wheel Whreck,5--4
6,Guess,3--6
7,Team Red,3--6
8,OverPower,1--8
9,Starboyz,1--8
