,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Team Freedom,2, compLexity,0
1,Upper Bracket Round 1, Planet Odd,1, Digital Chaos,2
2,Upper Bracket Final, Team Freedom,2, Digital Chaos,1
3,Lower Bracket Round 1, compLexity,2, Planet Odd,0
4,Lower Bracket Final, Digital Chaos,2, compLexity,1
5,Grand Final, Team Freedom,0, Digital Chaos,3
