,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Final, LGD Gaming,2, CIS Game,0
1,Lower Bracket Round 1, TongFu,0, DT^Club,2
2,Lower Bracket Final, CIS Game,2, DT^Club,1
3,Grand Final, LGD Gaming,3, CIS Game,1
