,Team,Win--Loss
0,LGD Gaming,8--1
1,CIS Game,6--3
2,TongFu,6--3
3,DT^Club,5--4
4,HyperGloryTeam,5--4
5,LGD.CDEC,5--4
6,New Element,4--5
7,Speed Gaming.cn,3--6
8,Orenda,2--7
9,CNB.cn,1--8
