,Standing,Team
1,1st,Forward Gaming
2,2nd,J.Storm
3,3rd,beastcoast
4,4th,Kookaburra
5,5th,Black Sheep
6,6th,Complexity Gaming
7,7th,Team Xolotl
8,8th,Old Suck Gaming
