,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Forward Gaming,2, Kookaburra,0
1,Upper Bracket Round 1, J.Storm,0, beastcoast,2
2,Upper Bracket Final, Forward Gaming,2, beastcoast,0
3,Lower Bracket Round 1, Kookaburra,1, J.Storm,2
4,Lower Bracket Final, beastcoast,0, J.Storm,2
5,Grand Final, Forward Gaming,3, J.Storm,1
