,Team,Win--Loss
0,Forward Gaming,7--0
1,J.Storm,6--1
2,beastcoast,5--2
3,Kookaburra,4--3
4,Black Sheep,3--4
5,Complexity Gaming,2--5
6,Team Xolotl,1--6
7,Old Suck Gaming,0--7
