,Standing,Team
1,1st,Team Spirit
2,2nd,Team Empire
3,3rd,HellRaisers
4,4th,PuckChamp
5,5th-6th,Natus Vincere
6,5th-6th,Nemiga Gaming
7,7th-8th,Team Unique
8,7th-8th,Fantastic Five
9,9th-12th,Winstrike Team
10,9th-12th,B8
11,9th-12th,EXTREMUM
12,9th-12th,AS Monaco Gambit
13,13th-14th,NoTechies
14,13th-14th,Trident Clan
