,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Fnatic,2, White Fries,0
1,Upper Bracket Round 1, Execration,0, WG.Unity,2
2,Upper Bracket Final, Fnatic,2, WG.Unity,0
3,Lower Bracket Round 1, White Fries,0, Execration,2
4,Lower Bracket Final, WG.Unity,1, Execration,2
5,Grand Final, Fnatic,3, Execration,1
