,Team,Win--Loss
0,TNC Pro Team,7--2
1,Fnatic,7--2
2,Execration,7--2
3,WarriorsGaming.Unity,5--4
4,White Fries Gaming,4--5
5,Rave,3--6
6,Mineski.Sports5,3--6
7,Orange.Taring,3--6
8,Signature.Trust,3--6
9,The Mongolz,3--6
