,Standing,Team
1,1st,TNC Pro Team
2,2nd,Fnatic
3,3rd,Execration
4,4th,WarriorsGaming.Unity
5,5th,White Fries Gaming
6,6th-10th,Orange.Taring
7,6th-10th,Mineski.Sports5
8,6th-10th,Rave
9,6th-10th,Signature.Trust
10,6th-10th,The Mongolz
