,Round,Team1,Score1,Team2,Score2
0,Winners' Round 1 (Bo3), EHOME,2, CDEC,0
1,Losers' Round 1 (Bo3), Energy Pacemaker,2, Wings Gaming,1
2,Losers' Round 2 (Bo3), CDEC,2, Energy Pacemaker,0
3,Grand Finals (Bo5), EHOME,3, CDEC,1
