,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, TNC Predator,2, Entity Gaming,0
1,Upper Bracket Round 1, TNC Tigers,0, Fnatic,2
2,Upper Bracket Final, TNC Predator,0, Fnatic,2
3,Qualified, Fnatic,-,-,-
4,Lower Bracket Final, TNC Predator,2, TNC Tigers,1
5,Qualified, TNC Predator,-,-,-
