,Team,Win--Loss
0,TNC Predator,6--1
1,TNC Tigers,5--2
2,Fnatic,4--3
3,Entity Gaming,4--3
4,Battle Arena Elites,3--4
5,BOOM ID,3--4
6,ALPHA Red,2--5
7,Sterling Global Dragons,1--6
