,Standing,Team
1,1st,Fnatic
2,2nd,TNC Predator
3,3rd,TNC Tigers
4,4th,Entity Gaming
5,5th-8th,Battle Arena Elites
6,5th-8th,BOOM ID
7,5th-8th,ALPHA Red
8,5th-8th,Sterling Global Dragons
