,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Final, NA Rejects,2, Team Liquid,0
1,Lower Bracket Round 1, Sneaky Nyx Assassins,2, Union Gaming,1
2,Lower Bracket Final, Team Liquid,2, Sneaky Nyx Assassins,0
3,Grand Final, NA Rejects,3, Team Liquid,2
