,Team,Win--Loss
0,NA Rejects,8--2
1,Team Liquid,8--2
2,Sneaky Nyx Assassins,6--4 *
3,Union Gaming,6--4 *
4,Team eHug,6--4 *
5,Revenge eSports,5--5
6,Top5,5--5
7,Shadows of the Past,4--6
8,CNB e-Sports Club,4--6
9,No Earthspirit,2--8
10,Isurus Gaming,1--9
