,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Fnatic,2, Execration,0
1,Upper Bracket Round 1, Mineski,0, Clutch Gamers,2
2,Upper Bracket Final, Fnatic,2, Clutch Gamers,0
3,Qualified, Fnatic,-,-,-
4,Lower Bracket Final, Clutch Gamers,1, Execration,2
5,Qualified, Execration,-,-,-
