,Team,Win--Loss
0,TNC Pro Team,8--1
1,Fnatic,7--2
2,Mineski,6--3
3,Clutch Gamers,6--3
4,Execration,5--4
5,Team Faceless,5--4
6,Geek Fam,4--5
7,Moogle,2--7
8,HappyFeet,2--7
9,Skatemasters,0--9
