,Team,Win--Loss
0,LGD Gaming,12--2
1,Team Secret,11--3
2,compLexity Gaming,9--5
3,Cloud9,7--7
4,MVP Phoenix,5--9
5,Invictus Gaming,5--9
6,Fnatic,4--10
7,Natus Vincere,3--11
