,Team,Win--Loss
0,Evil Geniuses,10--4
1,CDEC Gaming,9--5
2,EHOME,9--5
3,Team Empire,7--7
4,Virtus.pro,7--7
5,Vici Gaming,6--8
6,Newbee,6--8
7,MVP HOT6ix,2--12
