,Country,No. of Players,Players
0,China,27,"Agressif,Banana,BurNIng,Cty,Faith,Fenrir,Ferrari_430,fy,Garder,Hao,June,LaNm,Luo,Maybe,MMY!,Mu,Q,Rabbit,rOtk,SanSheng,Shiki,Super,Sylar,xiao8,Xz,Yao,Zyf"
1,Ukraine,12,"ALOHADANCE,ALWAYSWANNAFLY,Artstyle,CemaTheSlayeR,Dendi,DkPhobos,Funn1k,Lil,Mag~,No[o]ne,Resolut1on,XBOCT"
2,United States,9,"Fear,Fogged,Korok,MSS,ppd,swindlemelonzz,UNiVeRsE,USH,Zfreek"
3,Russia,7,"9pashaebashu,God,Illidan,Silent,Solo,SoNNeikO,yoky"
4,South Korea,7,"Febby,FoREv,Heen,March,MP,QO,SunBhie"
5,Malaysia,6,"ChuaN,JoHnNy,Kecik Imba,kYxY,Mushi,Ohaiyo"
6,Canada,5,"Arteezy,Aui_2000,chad,EternaLEnVy,MoonMeander"
7,Denmark,2,"BigDaddy,MiSeRy"
8,Germany,2,"FATA,Kuroky"
9,Singapore,2,"iceiceice,NutZ"
10,Sweden,2,"s4,zai"
11,Australia,1,kphoenii
12,Belarus,1,fng
13,Estonia,1,Puppey
14,Finland,1,JerAx
15,Israel,1,Fly
16,Macau,1,DDC
17,Mexico,1,Zyzz
18,Pakistan,1,SumaiL
19,Romania,1,bOne7
