,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo3), LGD Gaming,2, Team Empire,1
1,Upper Bracket R1 (Bo3), CDEC,2, Cloud9,0
2,Upper Bracket R1 (Bo3), Evil Geniuses,2, compLexity,0
3,Upper Bracket R1 (Bo3), Team Secret,0, EHOME,2
4,Upper Bracket R2 (Bo3), LGD Gaming,0, CDEC,2
5,Upper Bracket R2 (Bo3), Evil Geniuses,2, EHOME,1
6,Upper Bracket Final (Bo3), CDEC,2, Evil Geniuses,0
7,Lower Bracket R1 (Bo1), MVP Phoenix,1, Newbee,0
8,Lower Bracket R1 (Bo1), Vici Gaming,1, Natus Vincere,0
9,Lower Bracket R1 (Bo1), Virtus.pro,1, Fnatic,0
10,Lower Bracket R1 (Bo1), Invictus Gaming,1, MVP HOT6ix,0
11,Lower Bracket R2 (Bo3), Team Empire,0, MVP Phoenix,2
12,Lower Bracket R2 (Bo3), Cloud9,0, Vici Gaming,2
13,Lower Bracket R2 (Bo3), compLexity,1, Virtus.pro,2
14,Lower Bracket R2 (Bo3), Team Secret,2, Invictus Gaming,1
15,Lower Bracket R3 (Bo3), MVP Phoenix,0, Vici Gaming,2
16,Lower Bracket R3 (Bo3), Virtus.pro,2, Team Secret,1
17,Lower Bracket R4 (Bo3), EHOME,0, Vici Gaming,2
18,Lower Bracket R4 (Bo3), LGD Gaming,2, Virtus.pro,0
19,Lower Bracket R5 (Bo3), Vici Gaming,1, LGD Gaming,2
20,Lower Bracket Final (Bo3), Evil Geniuses,2, LGD Gaming,0
21,Grand Final (Bo5), CDEC,1, Evil Geniuses,3
