,Standing,Team
1,1st,Infamous
2,2nd,SG e-sports
3,3rd,Midas Club Elite
4,4th,Mad Kings
5,5th-10th,Unknown.xiu
6,5th-10th,Elite Wolves
7,5th-10th,STARS e-Sports
8,5th-10th,Anthrax
9,5th-10th,Union Gaming BO
10,5th-10th,Colombia DotA
