,Team,Win--Loss
0,Midas Club Elite,8--1
1,SG e-sports,7--2
2,Infamous,7--2
3,Mad Kings,6--3
4,Unknown.xiu,5--4
5,Elite Wolves,4--4
6,STARS e-Sports,3--6
7,Anthrax,2--7
8,Union Gaming BO,2--6
9,Colombia DotA,0--9
