,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Midas Club Elite,2, Mad Kings,0
1,Upper Bracket Round 1, SG e-sports,0, Infamous,2
2,Upper Bracket Final, Midas Club Elite,0, Infamous,2
3,Lower Bracket Round 1, Mad Kings,0, SG e-sports,2
4,Lower Bracket Final, Midas Club Elite,0, SG e-sports,2
5,Grand Final, Infamous,3, SG e-sports,0
